"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent"
"lq1cPD2ICmQ","2014-12-01T16:11:16.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","The 2016 Presidential Election: Who Are the Favorites?","Nov. 21 (Bloomberg) -- There's not that much difference between politics and sports, and Al Hunt makes that clear with his spiffy GOP presidential brackets.","https://i.ytimg.com/vi/lq1cPD2ICmQ/default.jpg","120","90","https://i.ytimg.com/vi/lq1cPD2ICmQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/lq1cPD2ICmQ/hqdefault.jpg","480","360","Bloomberg","none"
"Mun52CDKOgw","2013-08-08T15:07:21.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Ice Cream With Yelp CEO Jeremy Stoppelman","Bloomberg Businessweek's Sam Grobart sits down for ice cream with Yelp CEO Jeremy Stoppelman. --Subscribe to Bloomberg on YouTube: ...","https://i.ytimg.com/vi/Mun52CDKOgw/default.jpg","120","90","https://i.ytimg.com/vi/Mun52CDKOgw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Mun52CDKOgw/hqdefault.jpg","480","360","Bloomberg","none"
"cZwMeZ3BSlg","2014-05-22T14:31:20.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Spotify CEO Daniel Ek: Don't Be in Music Industry for Money","May 22 (Bloomberg) -- Daniel Ek, founder and chief executive officer of Spotify, discusses the streaming company and the music industry on ""Charlie Rose.","https://i.ytimg.com/vi/cZwMeZ3BSlg/default.jpg","120","90","https://i.ytimg.com/vi/cZwMeZ3BSlg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/cZwMeZ3BSlg/hqdefault.jpg","480","360","Bloomberg","none"
"z3ekPvsfwhg","2012-04-04T19:56:55.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Jaguar Land Rover `Doing Very Well,' CEO Says","April 4 (Bloomberg) -- Ralf Speth, chief executive officer of Tata Motors Ltd.'s Jaguar Land Rover, talks about the unit's vehicles and sales growth. He speaks ...","https://i.ytimg.com/vi/z3ekPvsfwhg/default.jpg","120","90","https://i.ytimg.com/vi/z3ekPvsfwhg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/z3ekPvsfwhg/hqdefault.jpg","480","360","Bloomberg","none"
"J5CGDo90V6M","2012-03-23T17:42:27.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Don Carty Says Airline Consolidation Is `Good Idea': Video","June 17 (Bloomberg) -- Don Carty, former chief executive officer of American Airlines and its parent AMR Corp., talks about consolidation among airlines and the ...","https://i.ytimg.com/vi/J5CGDo90V6M/default.jpg","120","90","https://i.ytimg.com/vi/J5CGDo90V6M/mqdefault.jpg","320","180","https://i.ytimg.com/vi/J5CGDo90V6M/hqdefault.jpg","480","360","Bloomberg","none"
"OhxnB1oLi0w","2017-09-14T13:29:20.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Luxury SUV Test: Audi Q5, Porsche Cayenne, BMW X5","Is the best luxury SUV a Porsche, BMW, or Audi? Bloomberg Pursuits' Hannah Elliott test-drove three popular models to find out which car blends the very finest ...","https://i.ytimg.com/vi/OhxnB1oLi0w/default.jpg","120","90","https://i.ytimg.com/vi/OhxnB1oLi0w/mqdefault.jpg","320","180","https://i.ytimg.com/vi/OhxnB1oLi0w/hqdefault.jpg","480","360","Bloomberg","none"
"bbAc81qLvSU","2015-01-06T14:06:05.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","CES Preview: Samsung to Unveil New TV’s in Vegas","Jan. 5 -- Tech's biggest trade show arrives in Las Vegas. Bloomberg's Caroline Hyde takes a look ahead to the gadgets and the tech trends to watch at CES.","https://i.ytimg.com/vi/bbAc81qLvSU/default.jpg","120","90","https://i.ytimg.com/vi/bbAc81qLvSU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/bbAc81qLvSU/hqdefault.jpg","480","360","Bloomberg","none"
"Hh2b_jaVw6Y","2009-07-15T00:25:29.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Inside Look - The Facebook Controversy - Bloomberg","Interview with Ben Mezrich, Author of ""The Accidental Billionaires"" (Taking Stock)","https://i.ytimg.com/vi/Hh2b_jaVw6Y/default.jpg","120","90","https://i.ytimg.com/vi/Hh2b_jaVw6Y/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Hh2b_jaVw6Y/hqdefault.jpg","480","360","Bloomberg","none"
"21nquu5B5DQ","2016-06-28T20:15:54.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","EU Commission President to Nigel Farage: 'You Lied'","June 28 -- Speaking at the European Parliament in Brussels EU Commission President Jean-Claude Juncker told U.K. Independence Party leader Nigel Farage ...","https://i.ytimg.com/vi/21nquu5B5DQ/default.jpg","120","90","https://i.ytimg.com/vi/21nquu5B5DQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/21nquu5B5DQ/hqdefault.jpg","480","360","Bloomberg","none"
"6U5wml5XVww","2012-01-10T23:59:21.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Ex-Olympus CEO Woodford Says All Directors Should Go","Jan. 10 (Bloomberg) -- Former Olympus Corp. Chief Executive Officer Michael Woodford, talks about the outlook for the company. Olympus rose the most in more ...","https://i.ytimg.com/vi/6U5wml5XVww/default.jpg","120","90","https://i.ytimg.com/vi/6U5wml5XVww/mqdefault.jpg","320","180","https://i.ytimg.com/vi/6U5wml5XVww/hqdefault.jpg","480","360","Bloomberg","none"
