"date","title","video_id","viewCount","likeCount","dislikeCount","commentCount","source"
2017-08-29,"Victoria’s Secret: Sexy Illusions Lightly Lined Demi","0roAz2QbGRs","39645","807","13","23","VS"
2017-09-05,"The Stories Behind Victoria’s Secret LOVE","allZ7zznEuw","830589","1589","9","60","VS"
2017-09-05,"Victoria’s Secret’s New LOVE Fragrance","4BZV-zo054g","545547","1003","11","30","VS"
2017-09-05,"Victoria’s Secret Angels on LOVE","4zVCoQlibv8","1150746","1222","12","53","VS"
2017-09-06,"Real Talk: Alessandra Ambrosio on LOVE","fQR7WjSiMmE","72576","1847","31","62","VS"
2017-09-07,"Real Talk: Stella Maxwell on LOVE","J9x7NNXDjIw","100447","1630","52","74","VS"
2017-09-08,"Real Talk: Elsa Hosk on LOVE","sGsgb9UlprQ","100359","1809","46","80","VS"
2017-09-09,"Real Talk: Candice Swanepoel on LOVE","9syjYm3_GMo","224295","5315","44","690","VS"
2017-09-12,"Real Talk: Lily Aldridge on LOVE","Rt7CfthtNm4","77265","1676","27","67","VS"
2017-09-26,"The Victoria Sport Angel Max Sport Bra Commercial","QMx6uNTXG9U","2979813","1863","60","121","VS"
2017-10-03,"Train Like An Angel: 3 Moves For a Better Butt with 305 Fitness","yoJ1n6MBHuI","70440","2008","21","79","VS"
2017-10-03,"Train Like An Angel: 3 Dance Moves With 305 Fitness","fz5yt6JKv2E","36045","906","12","48","VS"
2017-10-05,"#VSxBALMAIN Teaser #1","aoLaY-aqO9A","98229","2290","30","79","VS"
2017-10-09,"Train Like An Angel: Focus On Form With Dogpound","QF7jTlbj9cc","41393","1121","11","40","VS"
2017-10-09,"Train Like An Angel: All About The Stretch With Dogpound","1iaEIABKFKM","31747","1022","13","36","VS"
2017-10-10,"Victoria’s Secret Obsessed Commercial","f-iVLxfwWM4","144355","2165","24","122","VS"
2017-10-16,"Road to the Runway: Episode 1 – Castings","anhEcKWRzyE","2165818","37661","569","1673","VS"
2017-10-17,"Train Like An Angel: Healthy Mind & Body With Tracy Anderson","yNlw4CJKv2M","33401","882","17","20","VS"
2017-10-17,"Train Like An Angel: Making Time For Fitness With Tracy Anderson","WtpUE1yt5lA","50198","1105","33","40","VS"
2017-10-19,"Voices of the Angels: Olivier Rousteing Interviews Josephine","3J9D25o15UI","59608","1255","23","35","VS"
2017-10-19,"Voices of the Angels: Olivier Rousteing Interviews Adriana","YB6pxX1ykC0","70418","1553","18","47","VS"
2017-10-19,"Voices of the Angels: Olivier Rousteing Interviews Ale","_GWITWAH6YM","48651","1089","11","26","VS"
2017-10-23,"Train Like An Angel: How To Improve Your Flexibility With Ballet Beautiful","tjdggptvdbw","69822","1801","20","65","VS"
2017-10-23,"Road to the Runway: Episode 2 – Destination Shanghai","lFEgyLaz6o4","899000","12285","112","372","VS"
2017-10-23,"Train Like An Angel: De-stress With Classical Music And Ballet Beautiful","wze7JI65RC4","33926","722","14","21","VS"
2017-10-23,"Voices of the Angels: Olivier Rousteing Interviews Sara","TNQaAtChA1o","49467","1162","17","24","VS"
2017-10-26,"#VSxBALMAIN Teaser #2","UvZ_qgHxuOM","87455","2018","36","92","VS"
2017-10-27,"The Angels + Balmain’s Olivier Rousteing","BQcOqpuuFUs","255173","5252","38","228","VS"
2017-10-30,"Road To The Runway: Episode 3 – Meet The Artisans","saX5rWnTr6c","719776","10391","89","356","VS"
2017-10-30,"Train Like An Angel: Restore 101 With Beth Cooke","EQSuXmab4NU","52967","1236","29","31","VS"
2017-10-30,"Train Like An Angel: 3 Moves To Start Your Day With Beth Cooke","yzo1Ro1TW8M","38316","1109","14","25","VS"
2017-11-01,"The Fantasy Bra: Lais Gets The Big News!","kcBCOPa3ttQ","389980","10180","71","615","VS"
2017-11-02,"Behind The Scenes: 2017 Victoria’s Secret Fantasy Bra","lzsHrxgBRzQ","754545","14451","114","643","VS"
2017-11-02,"Angel Intel: What it Means to Wear the Fantasy Bra","Wm2xZmdtbkY","254792","6452","49","207","VS"
2017-11-06,"Road to the Runway: Episode 4 - Creating The Collection","4T6LZsWq3_E","802487","11172","118","315","VS"
2017-11-06,"Train Like An Angel Master Class","t5hrkmaoKx4","206176","5923","54","170","VS"
2017-11-08,"VSxBALMAIN Teaser #3","aWUJu00sqbo","117650","3093","33","106","VS"
2017-11-13,"Road to the Runway: Episode 5 —VS x BALMAIN","dGNuCUuoD7s","600666","9509","80","302","VS"
2017-11-16,"Victoria’s Secret Opening in Dublin","FMTo9XnhgLY","202917","2835","21","155","VS"
2017-11-16,"VSxBALMAIN Teaser #5","fe7_8dmYYG0","146197","3795","31","98","VS"
2017-11-19,"VS x BALMAIN :60 Launch Video","cp06pKfJ9X0","170471","4623","49","164","VS"
2017-11-20,"Road to the Runway: Episode 6 - Fittings","MGzNEPtwM6w","543307","9146","66","298","VS"
2017-11-27,"Road To The Runway: Episode 7 – The Countdown","pVQhDRkrXkA","396530","6926","52","178","VS"
2017-11-28,"Road To The Runway: Episode 8 – It’s Showtime!","mKYxly3rHP8","572621","9964","71","386","VS"
2017-11-29,"Victoria’s Secret Holiday 2017 Commercial","WhH6xGse_fo","573175","9538","353","598","VS"
2017-12-04,"Alessandra Ambrosio’s Wax Sculpture","92HCNclQOYo","444877","9633","258","452","VS"
2017-12-05,"Victoria’s Secret’s Party Nights Mist Collection","cOHUxzqoJ8A","133453","1637","41","34","VS"
2017-12-13,"Victoria’s Secret Angels Get In the Spirit","Gtfw1WGuVCY","142784","7304","57","339","VS"
2018-01-10,"Victoria’s Secret T-Shirt Bra Commercial","6gQOi6LeiQo","115762","1845","47","69","VS"
2018-02-21,"Victoria’s Secret Sexy Illusions Commercial","3VeG3_YUOIk","160684","2097","40","130","VS"
2018-03-27,"Victoria’s Secret Dream Angels Commercial","VYzXXmpxz04","4046010","3945","116","205","VS"
2018-05-07,"Victoria’s Secret T-Shirt Bra Commercial","_y6LXOE-e4c","72121","1539","43","89","VS"
2018-05-15,"Victoria's Secret Stretch Cotton Collection Commercial","KkS_ZR1NR-o","5348750","2043","78","92","VS"
